url,Property ID,Locality name,Postal code,Subtype of property,Open Fire,Price,Construction year,Building condition,Outdoor parking spaces,Living area,Kitchen type,Bedrooms,Bathrooms,Terrace surface,Elevator,Energy class,Heating type,Double glazing,Flood zone type,Tenement building,Furnished,Surface of the plot,Garden surface,Number of frontages,Swimming pool,Accessible for disabled people,Covered parking spaces,Shower rooms
https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/11135004,11135004,overijse,3090,house,0.0,"368,000",1918,,,142,,2,1,,,E,Fueloil,Yes,Nonfloodzone,No,No,640,,4,,,1,
https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/11135003,11135003,overijse,3090,house,0.0,"350,000",1950,,,150,,3,1,,,F,Gas,Yes,Nonfloodzone,No,No,1600,,4,,,1,
https://www.immoweb.be/en/classified/duplex/for-sale/halle/1500/11135002,11135002,halle,1500,duplex,1.0,"350,000",1995,,,133,,2,1,,Yes,Notspecified,Gas,Yes,Nonfloodzone,No,No,,,2,No,No,1,
https://www.immoweb.be/en/classified/house/for-sale/knokke/8300/11134999,11134999,knokke,8300,house,0.0,"540,000",1955,Good,1,130,,3,1,,No,F,Fueloil,Yes,Nonfloodzone,No,,198,,2,,Yes,,
https://www.immoweb.be/en/classified/manor-house/for-sale/retranchement/4525/11134997,11134997,retranchement,4525,manor-house,1.0,"1,680,000",,Good,2,122,,3,4,,,Notspecified,,No,Nonfloodzone,No,,860,,4,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11134994,11134994,gent,9000,apartment,0.0,"355,000",,,,100,Installed,3,1,,,A,Gas,Yes,,No,,,,,,,1,
https://www.immoweb.be/en/classified/apartment/for-sale/wondelgem/9032/11134993,11134993,wondelgem,9032,apartment,0.0,"355,000",,,,100,Installed,3,1,,,A,Gas,Yes,,No,,,,,,,1,
https://www.immoweb.be/en/classified/farmhouse/for-sale/damme/8340/11134992,11134992,damme,8340,farmhouse,0.0,"2,500,000",,Good,,342,,5,4,,,B,,,Nonfloodzone,No,,7429,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/11134991,11134991,evergem,9940,house,0.0,"399,000",2010,,2,173,,3,1,,,A,,,Nonfloodzone,No,,245,,,,,1,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11134986,11134986,knokke-heist,8300,apartment,0.0,"1,985,000",,Asnew,,270,,,1,,,Notspecified,,,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/keiem/8600/11134984,11134984,keiem,8600,house,0.0,"308,000",,Good,,162,,3,,,,A,,Yes,Nonfloodzone,No,,220,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11134979,11134979,knokke-heist,8300,apartment,0.0,"1,345,000",1964,Good,,121,,3,1,,Yes,B,,Yes,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/11134978,11134978,putte,2580,apartment,0.0,"349,500",2021,,1,89,Hyperequipped,1,1,29,Yes,A,Electric,Yes,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/destelbergen/9070/11134977,11134977,destelbergen,9070,villa,1.0,"1,375,000",2001,,5,285,Installed,4,2,,,A,Gas,Yes,Nonfloodzone,No,,2067,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/zoutleeuw/3440/11068580,11068580,zoutleeuw,3440,house,0.0,"299,000",1972,,,132,Installed,3,,,,F,Fueloil,Yes,Possiblefloodzone,No,,808,,,,,1,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10763932,10763932,knokke-heist,8300,apartment,0.0,"650,000",2000,,1,79,,2,1,,,C,,,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/oostduinkerke/8670/11134968,11134968,oostduinkerke,8670,villa,0.0,"575,000",1969,Torenovate,,219,,6,1,,,D,Gas,Yes,,Yes,,541,,,,,1,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11030898,11030898,anderlecht,1070,apartment,0.0,"354,385",2023,Asnew,113,113,USAhyperequipped,3,2,7,Yes,A,,Yes,Possiblefloodzone,No,No,,,2,No,Yes,113,1
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11036929,11036929,gent,9000,apartment,0.0,"365,000",2023,Good,1,101,Hyperequipped,3,3,13,,A,,Yes,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/11095766,11095766,sint-denijs-westrem,9051,apartment,0.0,"365,000",2023,Good,1,101,Hyperequipped,3,3,13,,A,,Yes,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11012758,11012758,woluwe-saint-lambert,1200,apartment,0.0,"366,200",2024,Asnew,1,84,USAhyperequipped,2,1,3,Yes,A,,Yes,Nonfloodzone,No,No,,,2,No,Yes,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/11066287,11066287,uccle,1180,apartment,0.0,"381,000",2024,Asnew,13,69,USAhyperequipped,1,1,5,Yes,B,,Yes,Nonfloodzone,No,No,,,2,No,Yes,,1
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/11063565,11063565,uccle,1180,apartment,0.0,"381,000",2025,Asnew,1,68,USAhyperequipped,1,1,5,Yes,B,,Yes,Nonfloodzone,No,No,,,2,No,No,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10743199,10743199,woluwe-saint-lambert,1200,apartment,0.0,"381,700",2025,Asnew,1,84,USAhyperequipped,2,1,9,Yes,B,,Yes,Nonfloodzone,No,No,,,,No,Yes,,
